'000043'	中航地产	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数	MA1	MA2	MA3	MA4	MA5	MA6		MA1	MA2	MA3	K	D	J
2014/12/24	7.63	7.69	7.50	7.69	53815.00	40918876	3194	7.818	8.021	8.359	8.292	8.516	7.024	53815	122575.203	141914.203	242167.156	29.355	34.276	19.512
2014/12/25	7.70	7.91	7.67	7.82	62395.00	48684504	4045	7.75	7.988	8.296	8.295	8.519	7.049	62395	101412	130246.398	227478	32.591	33.714	30.344
2014/12/26	7.82	7.95	7.72	7.84	105235.00	82331424	4949	7.708	7.959	8.215	8.299	8.515	7.072	105235	95675.398	128319	208975.203	35.269	34.232	37.342
2014/12/29	7.88	8.25	7.80	8.12	191310.00	154468864	8328	7.814	7.962	8.179	8.307	8.502	7.099	191310	104265	135429	203009.797	44.346	37.604	57.83
2014/12/30	8.08	8.33	7.77	8.16	208090.00	169438896	9017	7.926	7.951	8.141	8.318	8.475	7.126	208090	124169	141781.703	202433.203	51.439	42.215	69.886
2014/12/31	8.16	8.98	7.77	8.94	367336.00	308339744	14201	8.176	7.997	8.141	8.353	8.452	7.158	367336	186873.203	154724.203	203051.547	66.823	50.418	99.633
2015/01/05	8.96	9.74	8.65	9.09	555860.00	513206656	23802	8.43	8.09	8.156	8.388	8.437	7.193	555860	285566.188	193489.094	210985.156	68.929	56.588	93.61
2015/01/06	8.90	8.90	8.40	8.67	252845.00	218428576	12172	8.596	8.152	8.175	8.411	8.419	7.224	252845	315088.188	205381.797	206985.047	64.547	59.241	75.16
2015/01/07	8.51	8.79	8.45	8.56	126942.00	109157848	6557	8.684	8.249	8.172	8.403	8.403	7.255	126942	302214.594	203239.797	195880.906	58.805	59.096	58.224
2015/01/08	8.56	8.57	8.18	8.18	133609.00	111331688	7719	8.688	8.307	8.182	8.379	8.378	7.281	133609	287318.406	205743.703	181700	47.416	55.203	31.843
2015/01/09	8.21	8.46	8.17	8.20	134033.00	111796632	5876	8.54	8.358	8.189	8.358	8.355	7.307	134033	240657.797	213765.5	177839.844	39.532	49.979	18.637
2015/01/12	8.14	8.14	7.85	7.87	106049.00	84518792	5712	8.296	8.363	8.175	8.318	8.339	7.329	106049	150695.594	218130.906	174188.656	28.046	42.668	-1.197
2015/01/13	7.92	7.95	7.74	7.90	82452.00	64790140	3597	8.142	8.369	8.164	8.267	8.323	7.353	82452	116617	215852.594	172085.797	21.364	35.567	-7.041
2015/01/14	7.92	8.04	7.85	7.95	62115.00	49416160	2836	8.02	8.352	8.157	8.237	8.307	7.375	62115	103651.602	202933.094	169181.047	17.743	29.626	-6.022
2015/01/15	7.95	8.20	7.95	8.18	79352.00	64321464	3946	8.02	8.354	8.153	8.212	8.3	7.399	79352	92800.203	190059.297	165920.5	19.162	26.138	5.21
2015/01/16	8.20	8.22	8.04	8.17	80113.00	65185468	3469	8.014	8.277	8.137	8.186	8.293	7.423	80113	82016.203	161337	158030.594	25.131	25.802	23.789
2015/01/19	7.88	7.95	7.40	7.53	121706.00	93402568	5469	7.946	8.121	8.106	8.145	8.279	7.442	121706	85147.602	117921.602	155705.344	19.871	23.825	11.964
2015/01/20	7.54	7.78	7.54	7.70	78666.00	60277824	3271	7.906	8.024	8.088	8.125	8.269	7.462	78666	84390.398	100503.703	152942.75	21.795	23.148	19.087
2015/01/21	7.73	8.09	7.68	8.00	103925.00	82460208	4849	7.916	7.968	8.109	8.104	8.262	7.484	103925	92752.398	98202	150720.906	33.398	26.565	47.063
2015/01/22	7.98	8.38	7.94	8.33	155094.00	127353064	6256	7.946	7.983	8.145	8.115	8.257	7.509	155094	107900.797	100350.5	153047.094	53.898	35.676	90.342
2015/01/23	8.37	8.38	8.08	8.23	128035.00	105189760	5140	7.958	7.986	8.172	8.122	8.25	7.533	128035	117485.203	99750.703	156758.094	64.163	45.172	102.146
2015/01/26	8.21	8.82	8.08	8.65	207419.00	175960640	8515	8.182	8.064	8.214	8.138	8.253	7.561	207419	134627.797	109887.703	164009.297	72.118	54.154	108.047
2015/01/27	8.60	8.65	8.29	8.58	165609.00	140548016	6664	8.358	8.132	8.25	8.153	8.252	7.588	165609	152016.406	118203.398	167028	75.778	61.362	104.611
2015/01/28	8.58	8.58	8.26	8.50	106838.00	89979320	5009	8.458	8.187	8.269	8.167	8.252	7.615	106838	152599	122675.703	162804.406	76.34	66.355	96.312
2015/01/29	8.40	8.66	8.35	8.44	94511.00	80529848	3357	8.48	8.213	8.283	8.173	8.254	7.641	94511	140482.406	124191.602	157125.453	75.307	69.339	87.243
2015/01/30	8.60	8.87	8.29	8.56	224226.00	193260560	7612	8.546	8.252	8.264	8.175	8.256	7.668	224226	159720.594	138602.906	149969.953	75.768	71.482	84.341
2015/02/02	8.44	8.55	8.18	8.43	95658.00	79963320	3891	8.502	8.342	8.231	8.184	8.255	7.694	95658	137368.406	135998.094	126959.852	71.521	71.495	71.572
2015/02/03	8.44	8.62	8.28	8.60	146606.00	124607928	5196	8.506	8.432	8.228	8.203	8.26	7.721	146606	133567.797	142792.094	121647.898	71.336	71.442	71.125
2015/02/04	8.56	8.67	8.42	8.44	130824.00	112302640	3121	8.494	8.476	8.222	8.231	8.261	7.747	130824	138365	145482	121842	62.747	68.544	51.155
2015/02/05	8.68	8.75	8.15	8.16	171692.00	144889568	5520	8.438	8.459	8.221	8.25	8.271	7.771	171692	153801.203	147141.797	123746.148	45.207	60.765	14.092
2015/02/06	8.10	8.21	7.82	7.87	79584.00	63532576	3266	8.3	8.423	8.205	8.256	8.274	7.79	79584	124872.797	142296.703	121023.703	31.725	51.085	-6.994
2015/02/09	7.87	8.32	7.83	7.96	46031.00	36776252	1678	8.206	8.354	8.209	8.26	8.278	7.811	46031	114947.398	126157.898	118022.797	25.595	42.588	-8.392
2015/02/10	8.01	8.25	7.91	8.13	43715.00	35495864	1919	8.112	8.309	8.22	8.27	8.285	7.835	43715	94369.203	113968.5	116085.953	26.904	37.36	5.993
2015/02/11	8.14	8.20	8.02	8.14	39662.00	32225118	1567	8.052	8.273	8.23	8.271	8.289	7.858	39662	76136.797	107250.898	114963.297	28.095	34.272	15.741
2015/02/12	8.10	8.27	8.09	8.21	75804.00	62001560	3381	8.062	8.25	8.231	8.272	8.295	7.881	75804	56959.199	105380.203	114785.898	32.708	33.751	30.624
2015/02/13	8.25	8.48	8.21	8.37	94844.00	79391784	3097	8.162	8.231	8.241	8.253	8.303	7.906	94844	60011.199	92442	115522.453	41.519	36.34	51.876
2015/02/16	8.41	8.58	8.36	8.43	81719.00	69398352	2757	8.256	8.231	8.286	8.231	8.31	7.928	81719	67148.797	91048.102	113523.102	49.543	40.741	67.147
2015/02/17	8.50	8.68	8.42	8.61	97554.00	83402624	4514	8.352	8.232	8.332	8.229	8.32	7.953	97554	77916.602	86142.898	114467.5	61.344	47.609	88.815
2015/02/25	8.65	8.66	8.51	8.57	69014.00	59191016	2433	8.438	8.245	8.361	8.23	8.316	7.977	69014	83787	79961.898	112721.953	69.966	55.061	99.775
2015/02/26	8.58	8.80	8.53	8.75	109808.00	95015272	3355	8.546	8.304	8.382	8.249	8.314	8.003	109808	90587.797	73773.5	110457.648	78.259	62.794	109.189
2015/02/27	8.71	8.81	8.62	8.65	92446.00	80488872	3123	8.602	8.382	8.403	8.264	8.311	8.03	92446	90108.203	75059.703	108678.203	79.58	68.389	101.962
2015/03/02	8.87	8.93	8.68	8.76	151703.00	132966504	6456	8.668	8.462	8.408	8.293	8.306	8.057	151703	104105	85626.898	105892.398	80.16	72.313	95.853
2015/03/03	8.73	8.73	8.48	8.49	132791.00	113666656	4603	8.644	8.498	8.403	8.313	8.29	8.083	132791	111152.398	94534.5	104251.5	69.313	71.313	65.313
2015/03/04	8.47	8.65	8.45	8.60	73095.00	62660768	3990	8.65	8.544	8.408	8.335	8.286	8.109	73095	111968.602	97877.797	102564.352	64.264	68.963	54.866
2015/03/05	8.62	9.39	8.54	9.12	272075.00	243962016	9850	8.724	8.635	8.443	8.366	8.289	8.138	272075	144422	117504.898	111442.547	67.438	68.455	65.405
2015/03/06	9.03	9.24	8.88	9.23	173052.00	156854784	6154	8.84	8.721	8.476	8.401	8.294	8.167	173052	160543.203	125325.703	108883.852	72.794	69.901	78.579
2015/03/09	9.23	10.15	9.03	10.15	413389.00	403162016	12650	9.118	8.893	8.562	8.489	8.317	8.204	413389	212880.406	158492.703	124770.398	81.863	73.888	97.811
2015/03/10	10.45	10.76	9.95	10.36	441803.00	455094048	15767	9.492	9.068	8.65	8.577	8.351	8.242	441803	274682.813	192917.594	139530.25	82.136	76.638	93.134
2015/03/11	10.39	11.40	9.99	11.05	538018.00	579750464	18217	9.982	9.316	8.781	8.679	8.391	8.286	538018	367667.406	239818	159889.953	84.136	79.137	94.134
