'399006'	创业板指	日线
日期	开盘	最高	最低	收盘	成交量	成交额	MA1	MA2	MA3	MA4	MA5	MA6		MA1	MA2	MA3	DDX	DDX1	DDX2	DDX3		
2015/05/07	2824.82	2879.68	2801.47	2806.05	30603594.00	108524773376	2827.838	2781.312	2650.75	2569.217	2270.986	1924.672	30603594	31769158	33248476	34312028	0	0	0	0		1
2015/05/08	2838.97	2974.37	2838.97	2973.60	38363324.00	134263480320	2850.98	2808.053	2674.605	2588.837	2291.25	1936.828	38363324	32584656	33259948	34217308	0	0	0	0		1
2015/05/11	3015.43	3150.49	2991.33	3146.83	48013492.00	170680975360	2911.296	2849.261	2704.305	2617.338	2314.125	1950.873	48013492	36366464	34418300	34861016	0	0	0	0		1
2015/05/12	3176.54	3254.99	3133.96	3250.30	51249204.00	185001017344	3004.668	2899.541	2737.932	2648.221	2339.448	1965.661	51249204	40599544	36074776	35509052	0	0	0	0		1
2015/05/13	3185.34	3271.18	3123.92	3192.15	46156896.00	171825758208	3073.786	2949.959	2769.596	2678.277	2364.169	1980.238	46156896	42877304	37249464	35993024	0	0	0	0		1
2015/05/14	3174.45	3228.03	3137.28	3141.59	44148588.00	161797931008	3140.894	2984.366	2804.589	2705.157	2387.401	1994.408	44148588	45586300	38677728	36399384	0	0	0	0		1
2015/05/15	3109.11	3176.12	3059.86	3145.34	40803048.00	144247455744	3175.242	3013.111	2837.639	2729.838	2410.276	2008.355	40803048	46074244	39329452	36917008	0	0	0	0		1
2015/05/18	3178.37	3286.41	3178.37	3278.48	42156100.00	155269169152	3201.572	3056.434	2878.364	2756.61	2435.104	2023.327	42156100	44902768	40634616	37362244	0	0	0	0		1
2015/05/19	3310.09	3340.42	3206.78	3322.77	44285352.00	169730539520	3216.066	3110.367	2923.26	2783.697	2460.059	2038.47	44285352	43509996	42054772	37851004	0	0	0	0		1
2015/05/20	3339.17	3471.95	3339.17	3406.28	46165536.00	176706289664	3258.892	3166.339	2965.27	2812.017	2485.219	2054.401	46165536	43511724	43194512	38556416	0	0	0	0		1
2015/05/21	3421.61	3531.84	3421.45	3527.41	44954144.00	178876416000	3336.056	3238.475	3009.894	2846.658	2512.438	2071.256	44954144	43672836	44629568	38939024	0	0	0	0		1
2015/05/22	3594.59	3618.24	3438.57	3516.63	57570184.00	221047881728	3410.314	3292.778	3050.416	2880.663	2539.769	2087.996	57570184	47026264	46550256	39905100	0	0	0	0		1
2015/05/25	3415.67	3499.54	3370.84	3467.92	45619500.00	175439495168	3448.202	3324.887	3087.074	2911.166	2566.228	2104.046	45619500	47718944	46310856	40364580	0	0	0	0		1
2015/05/26	3471.80	3619.49	3471.80	3618.23	45465316.00	180747780096	3507.294	3361.68	3130.611	2945.848	2594.398	2121.246	45465316	47954936	45732468	40903620	0	0	0	0		1
2015/05/27	3638.21	3662.98	3546.58	3628.67	49660296.00	198252412928	3551.772	3405.332	3177.646	2981.508	2621.759	2138.457	49660296	48653888	46082808	41666136	0	0	0	0		1
