'600000'	浦发银行	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数	MA1	MA2	MA3	MA4	MA5	MA6		MA1	MA2	MA3	K	D	J
2014/12/29	15.40	15.88	14.71	14.95	6252161.00	9556435968	0	14.308	14.16	13.613	12.795	11.422	10.461	6252161	4814159	5334792.5	5757979	67.081	66.435	68.373
2014/12/30	14.95	15.50	14.83	15.36	4436556.00	6774519296	0	14.558	14.367	13.738	12.958	11.515	10.513	4436556	4818312.5	5339760	5685121.5	71.31	68.06	77.809
2014/12/31	15.45	15.79	15.11	15.69	4688323.00	7271524864	0	15.004	14.525	13.893	13.132	11.613	10.568	4688323	4920818	4938889	5554257	78.409	71.51	92.207
2015/01/05	15.88	16.25	15.56	16.07	5135687.00	8182820864	0	15.368	14.743	14.033	13.316	11.716	10.628	5135687	5036511.5	4952829.5	5451020.5	83.565	75.528	99.639
2015/01/06	16.00	16.68	15.82	16.13	5116845.00	8311085056	0	15.64	14.947	14.163	13.494	11.821	10.688	5116845	5125914.5	5028270	5277039	83.603	78.22	94.37
2015/01/07	15.90	16.17	15.53	15.81	3857168.00	6114241024	0	15.812	15.06	14.263	13.659	11.922	10.745	3857168	4646916	4730537.5	5117936	80.463	78.968	83.455
2015/01/08	15.87	15.88	15.20	15.25	3306272.00	5101310464	0	15.79	15.174	14.393	13.798	12.015	10.797	3306272	4420859	4619585.5	4848652.5	71.843	76.593	62.344
2015/01/09	15.20	16.25	15.11	15.43	4919999.00	7692348416	0	15.738	15.371	14.507	13.935	12.109	10.851	4919999	4467194	4694006	4784516.5	64.495	72.56	48.365
2015/01/12	15.50	15.71	14.95	15.22	3677873.00	5625726976	0	15.568	15.468	14.615	14.059	12.198	10.903	3677873	4175631.5	4606071.5	4747124.5	51.626	65.582	23.714
2015/01/13	15.13	15.41	15.10	15.18	1784050.00	2712026624	0	15.378	15.509	14.725	14.152	12.286	10.954	1784050	3509072.5	4317493.5	4681047.5	40.724	57.296	7.579
2015/01/14	15.31	15.79	15.31	15.49	3090189.00	4812472320	0	15.314	15.563	14.861	14.263	12.38	11.008	3090189	3355676.5	4001296.25	4668044.5	37.554	50.715	11.231
2015/01/15	15.49	16.15	15.39	16.12	3298268.00	5216166912	0	15.488	15.639	15.003	14.371	12.485	11.068	3298268	3354075.75	3887467.5	4613614	47.579	49.67	43.398
2015/01/16	16.24	16.75	16.16	16.47	4802459.00	7938758144	0	15.696	15.717	15.121	14.501	12.597	11.129	4802459	3330567.75	3898881	4418885	59.868	53.069	73.464
2015/01/19	15.38	15.73	14.82	14.82	6235209.00	9496942592	0	15.616	15.592	15.167	14.553	12.681	11.177	6235209	3842035	4008833.25	4480831.5	39.912	48.683	22.368
2015/01/20	14.88	15.17	14.58	15.00	4792157.00	7142638592	0	15.58	15.479	15.213	14.602	12.77	11.225	4792157	4443656.5	3976364.5	4502317	33.059	43.475	12.228
2015/01/21	15.10	15.87	14.81	15.74	4875404.00	7489943552	0	15.63	15.472	15.266	14.666	12.874	11.278	4875404	4800699.5	4078188	4404362.5	39.858	42.27	35.036
2015/01/22	15.73	15.76	15.35	15.63	2947383.00	4592023040	0	15.532	15.51	15.342	14.765	12.975	11.326	2947383	4730522.5	4042299	4330942.5	42.701	42.414	43.277
2015/01/23	15.74	16.04	15.54	15.63	3200430.00	5044685824	0	15.364	15.53	15.45	14.848	13.074	11.375	3200430	4410116.5	3870342.25	4282174	44.597	43.141	47.507
2015/01/26	15.56	15.59	15.13	15.43	2685669.00	4122351616	0	15.486	15.551	15.509	14.927	13.167	11.423	2685669	3700208.5	3771121.75	4188596.75	42.788	43.023	42.317
2015/01/27	15.44	15.44	14.75	15.01	3519140.00	5286301696	0	15.488	15.534	15.521	14.995	13.248	11.466	3519140	3445605.25	3944630.75	4131062	35.13	40.392	24.607
2015/01/28	14.82	15.11	14.66	14.81	2422031.00	3592645120	0	15.302	15.466	15.514	15.063	13.325	11.508	2422031	2954930.5	3877815	3939555.5	26.953	35.913	9.035
2015/01/29	14.58	14.68	14.32	14.42	2669681.00	3864614144	0	15.06	15.296	15.467	15.101	13.398	11.546	2669681	2899390.25	3814956.25	3851211.75	19.907	30.577	-1.434
2015/01/30	14.58	14.69	14.36	14.47	2078653.00	3021747712	0	14.828	15.096	15.406	15.113	13.472	11.584	2078653	2675034.75	3542575.75	3720728.25	16.178	25.778	-3.021
2015/02/02	14.06	14.26	13.99	14.04	2116177.00	2989272576	0	14.55	15.018	15.305	15.118	13.539	11.62	2116177	2561136.5	3130672.5	3569752.75	11.599	21.051	-7.307
2015/02/03	14.21	14.46	14.02	14.45	1962636.00	2792706816	0	14.438	14.963	15.221	15.13	13.61	11.661	1962636	2249835.5	2847720.5	3412042.5	15.212	19.105	7.426
2015/02/04	14.50	14.59	14.12	14.18	1678962.00	2421384704	0	14.312	14.807	15.139	15.113	13.671	11.699	1678962	2101221.75	2528076.25	3303132	13.231	17.147	5.399
2015/02/05	14.75	14.80	14.17	14.18	3943327.00	5742890496	0	14.264	14.662	15.086	15.115	13.725	11.737	3943327	2355951	2627670.5	3334984.75	12.779	15.691	6.955
2015/02/06	14.09	14.32	13.95	14.09	1865475.00	2637144064	0	14.188	14.508	15.019	15.136	13.776	11.774	1865475	2313315.5	2494175	3182258.75	11.651	14.344	6.265
2015/02/09	14.06	14.27	13.85	14.16	2245855.00	3155932160	0	14.212	14.381	14.966	15.133	13.83	11.812	2245855	2339251	2450193.75	3110657.75	15.969	14.886	18.134
2015/02/10	14.15	14.48	14.08	14.43	1836935.00	2629916416	0	14.208	14.323	14.929	15.122	13.888	11.852	1836935	2314110.75	2281973.25	3113302	30.997	20.256	52.478
2015/02/11	14.43	14.54	14.31	14.42	1241271.00	1789572992	0	14.256	14.284	14.875	15.104	13.95	11.892	1241271	2226572.5	2163897.25	3020856	40.664	27.059	67.876
2015/02/12	14.42	14.43	14.11	14.35	1489542.00	2121808256	0	14.29	14.277	14.786	15.071	14.014	11.93	1489542	1735815.625	2045883.25	2930419.75	44.653	32.924	68.113
2015/02/13	14.50	14.67	14.35	14.43	2083668.00	3023274240	0	14.358	14.273	14.684	15.029	14.08	11.969	2083668	1779454.25	2046384.75	2794480.25	50.12	38.656	73.048
2015/02/16	14.43	14.46	14.26	14.40	1392200.00	1995677440	0	14.406	14.309	14.663	14.973	14.144	12.009	1392200	1608723.25	1973987.125	2552329.75	52.711	43.341	71.452
2015/02/17	14.42	14.58	14.41	14.47	1206653.00	1747213056	0	14.414	14.311	14.637	14.918	14.206	12.05	1206653	1482666.75	1898388.75	2373054.5	56.895	47.859	74.968
2015/02/25	14.48	14.50	14.18	14.28	1409326.00	2025174400	0	14.386	14.321	14.564	14.867	14.263	12.09	1409326	1516277.75	1871425.25	2199750.75	55.41	50.376	65.478
2015/02/26	14.25	14.68	14.11	14.62	2150140.00	3104052224	0	14.44	14.365	14.514	14.846	14.322	12.133	2150140	1648397.375	1692106.5	2159888.5	67.864	56.205	91.18
2015/02/27	14.60	14.80	14.48	14.53	1956069.00	2861206528	0	14.46	14.409	14.458	14.816	14.375	12.175	1956069	1622877.625	1701165.875	2097670.5	66.076	59.495	79.236
2015/03/02	14.58	14.58	14.36	14.48	2187633.00	3159377664	0	14.476	14.441	14.411	14.791	14.425	12.217	2187633	1781964.25	1695343.75	2072768.75	61.925	60.305	65.164
2015/03/03	14.44	14.44	13.98	14.00	2663724.00	3766071296	0	14.382	14.398	14.361	14.752	14.452	12.256	2663724	2073378.375	1778022.625	2029997.875	42.096	54.236	17.818
2015/03/04	14.05	14.07	13.85	13.91	1565960.00	2183814656	0	14.308	14.347	14.316	14.699	14.481	12.293	1565960	2104705.25	1810491.5	1987194.375	30.169	46.214	-1.919
