'600115'	东方航空	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数	MA1	MA2	MA3	MA4	MA5	MA6		MA1	MA2	MA3	K	D	J
2014/12/24	5.17	5.18	4.81	4.94	1491713.00	743064320	0	5.456	5.581	5.52	5.209	4.31	3.443	1491713	1928264	2158066.25	2123359.75	31.324	46.994	-0.017
2014/12/25	5.00	5.17	4.92	5.16	906009.00	458880640	0	5.364	5.508	5.538	5.218	4.346	3.467	906009	1803151.375	1892171.125	2129640.75	29.525	41.171	6.232
2014/12/26	5.16	5.44	5.06	5.35	1145720.00	604105472	0	5.244	5.472	5.543	5.241	4.386	3.491	1145720	1382266.375	1751254.25	2028385.5	33.016	38.453	22.144
2014/12/29	5.33	5.48	5.20	5.28	1098099.00	585243840	0	5.188	5.444	5.516	5.269	4.424	3.516	1098099	1186100.25	1718056.875	1928792.875	33.616	36.84	27.167
2014/12/30	5.30	5.37	5.10	5.13	853544.00	444697280	0	5.172	5.395	5.478	5.295	4.459	3.539	853544	1099017	1637168.375	1830271.5	30.312	34.664	21.607
2014/12/31	5.10	5.23	5.01	5.18	672499.00	344596544	0	5.22	5.338	5.455	5.318	4.495	3.563	672499	935174.188	1431719.125	1749973.875	29.344	32.891	22.25
2015/01/05	5.25	5.63	5.25	5.55	2119325.00	1165316608	0	5.298	5.331	5.447	5.354	4.536	3.589	2119325	1177837.375	1490494.375	1781798.875	43.055	36.279	56.606
2015/01/06	5.92	5.98	5.58	5.66	1979664.00	1134934144	0	5.36	5.302	5.459	5.395	4.578	3.617	1979664	1344626.25	1363446.25	1790820.875	52.92	41.826	75.107
2015/01/07	5.78	5.90	5.65	5.74	1503680.00	867833856	0	5.452	5.32	5.471	5.433	4.622	3.646	1503680	1425742.375	1305921.25	1776715.125	61.775	48.476	88.375
2015/01/08	5.65	5.66	5.43	5.49	913776.00	505200416	0	5.524	5.348	5.485	5.455	4.661	3.672	913776	1437788.75	1268402.875	1709211.75	59.108	52.02	73.285
2015/01/09	5.43	5.82	5.40	5.59	1408567.00	796266304	0	5.606	5.413	5.497	5.484	4.699	3.699	1408567	1585002.375	1260088.25	1709077.25	59.337	54.459	69.093
2015/01/12	5.60	5.71	5.40	5.70	912477.00	504067904	0	5.636	5.467	5.488	5.515	4.74	3.727	912477	1343632.75	1260735.125	1576453.125	63.269	57.396	75.016
2015/01/13	5.81	5.89	5.62	5.66	1242386.00	716015680	0	5.636	5.498	5.485	5.528	4.782	3.754	1242386	1196177.25	1270401.75	1510828	64.516	59.769	74.01
2015/01/14	5.61	5.61	5.35	5.45	796885.00	436677664	0	5.578	5.515	5.479	5.516	4.82	3.78	796885	1054818.25	1240280.25	1479168.625	58.131	59.223	55.947
2015/01/15	5.32	5.54	5.17	5.50	1035048.00	549780032	0	5.58	5.552	5.473	5.503	4.86	3.806	1035048	1079072.625	1258430.75	1447799.5	52.334	56.927	43.149
2015/01/16	5.48	5.49	5.38	5.39	772102.00	417806112	0	5.54	5.573	5.456	5.494	4.898	3.831	772102	951779.625	1268391	1350055	43.943	52.599	26.631
2015/01/19	5.09	5.20	4.85	4.85	1235660.00	617837568	0	5.37	5.503	5.417	5.466	4.93	3.852	1235660	1016416.188	1180024.5	1335259.5	29.295	44.831	-1.776
2015/01/20	4.89	5.05	4.89	5.04	750605.00	374524800	0	5.246	5.441	5.372	5.453	4.965	3.873	750605	918060	1057118.625	1210282.5	25.62	38.427	0.005
2015/01/21	5.15	5.24	5.09	5.21	742249.00	383980000	0	5.198	5.388	5.354	5.443	5.003	3.896	742249	907132.813	980975.5	1143448.375	28.618	35.158	15.54
2015/01/22	5.21	5.34	5.11	5.25	729994.00	382083520	0	5.148	5.364	5.356	5.445	5.038	3.919	729994	846122	962597.313	1115500.125	31.899	34.072	27.555
2015/01/23	5.25	5.38	5.20	5.29	804263.00	426497696	0	5.128	5.334	5.373	5.443	5.069	3.942	804263	852554.188	902166.875	1081127.625	35.369	34.504	37.099
2015/01/26	5.38	5.57	5.25	5.56	1155657.00	627803264	0	5.27	5.32	5.393	5.432	5.101	3.968	1155657	836553.625	926484.875	1093610	54.72	41.243	81.674
2015/01/27	5.50	5.53	5.31	5.44	914313.00	495027296	0	5.35	5.298	5.398	5.423	5.129	3.992	914313	869295.188	893677.625	1082039.625	63.795	48.76	93.864
2015/01/28	5.34	5.38	5.16	5.30	667211.00	352814624	0	5.368	5.283	5.399	5.414	5.152	4.016	667211	854287.625	880710.188	1060495.25	63.363	53.628	82.834
2015/01/29	5.21	5.38	5.17	5.28	494151.00	261991696	0	5.374	5.261	5.406	5.403	5.174	4.039	494151	807119	826620.5	1042525.625	62.149	56.468	73.512
2015/01/30	5.28	5.34	5.13	5.14	495883.00	258214224	0	5.344	5.236	5.405	5.382	5.194	4.06	495883	745443	798998.625	1033694.813	53.688	55.541	49.981
2015/02/02	5.10	5.25	5.02	5.11	666566.00	341934496	0	5.254	5.262	5.383	5.365	5.213	4.081	666566	647624.813	742089.188	961056.875	41.246	50.776	22.187
2015/02/03	5.16	5.18	4.97	5.09	784686.00	395394176	0	5.184	5.267	5.354	5.337	5.232	4.102	784686	621699.375	745497.313	901307.938	34.164	45.239	12.015
2015/02/04	5.05	5.06	4.92	4.94	752544.00	374725088	0	5.112	5.24	5.314	5.316	5.243	4.123	752544	638766	746526.813	863751.125	23.802	38.093	-4.781
2015/02/05	5.05	5.10	4.92	4.94	768934.00	386516352	0	5.044	5.209	5.286	5.307	5.252	4.142	768934	693722.625	750420.813	856509.063	16.894	31.027	-11.373
2015/02/06	4.90	4.91	4.56	4.63	763288.00	360693216	0	4.942	5.143	5.239	5.297	5.253	4.16	763288	747203.625	746323.313	824245.125	13.668	25.24	-9.477
2015/02/09	4.60	4.79	4.56	4.70	428587.00	201717776	0	4.86	5.057	5.188	5.281	5.25	4.178	428587	699607.813	673616.313	800050.625	14.803	21.761	0.886
2015/02/10	4.70	4.93	4.67	4.90	461881.00	224586464	0	4.822	5.003	5.15	5.266	5.254	4.198	461881	635046.813	628373.125	761025.375	23.69	22.404	26.261
2015/02/11	4.91	5.00	4.85	4.96	329115.00	162145280	0	4.826	4.969	5.126	5.256	5.262	4.218	329115	550361	594563.5	737636.875	32.887	25.898	46.865
2015/02/12	4.95	5.06	4.83	4.98	448423.00	221418528	0	4.834	4.939	5.1	5.251	5.273	4.239	448423	486258.813	589990.688	708305.625	42.215	31.337	63.97
2015/02/13	4.95	5.02	4.92	4.94	390951.00	194488336	0	4.896	4.919	5.077	5.243	5.28	4.259	390951	411791.406	579497.5	689248.063	48.573	37.083	71.555
2015/02/16	4.92	5.05	4.89	5.00	483081.00	240485712	0	4.956	4.908	5.085	5.224	5.289	4.279	483081	422690.188	561149	651619.125	59.543	44.569	89.489
2015/02/17	5.00	5.50	4.98	5.50	2169350.00	1169564544	0	5.076	4.949	5.108	5.219	5.307	4.304	2169350	764184	699615.375	722556.375	73.028	54.056	110.974
2015/02/25	5.49	5.55	5.36	5.40	1397330.00	761411328	0	5.164	4.995	5.117	5.208	5.32	4.328	1397330	977827	764094	755310.375	76.968	61.693	107.519
2015/02/26	5.38	5.40	5.22	5.38	915691.00	486596544	0	5.244	5.039	5.124	5.204	5.33	4.35	915691	1071280.625	778769.688	764595.25	78.922	67.436	101.893
2015/02/27	5.43	5.52	5.39	5.47	1154892.00	631089152	0	5.35	5.123	5.133	5.2	5.342	4.373	1154892	1224068.75	817930.125	782126.688	82.918	72.597	103.559
2015/03/02	5.47	5.49	5.35	5.45	578745.00	313575776	0	5.44	5.198	5.128	5.192	5.353	4.396	578745	1243201.625	832945.875	753281.125	83.982	76.392	99.163
2015/03/03	5.45	5.45	5.22	5.24	769525.00	408439840	0	5.388	5.232	5.117	5.178	5.353	4.418	769525	963236.625	863710.313	746041.688	74.969	75.918	73.073
2015/03/04	5.21	5.27	5.19	5.24	429396.00	224665872	0	5.356	5.26	5.115	5.171	5.343	4.44	429396	769649.813	873738.375	734150.938	67.656	73.164	56.641
2015/03/05	5.20	5.21	5.05	5.14	560385.00	287361472	0	5.308	5.276	5.108	5.159	5.331	4.461	560385	698588.625	884934.625	737462.625	57.731	68.019	37.153
2015/03/06	5.13	5.39	5.09	5.24	696584.00	367440320	0	5.262	5.306	5.113	5.154	5.324	4.483	696584	606927	915497.875	747497.688	53.692	63.244	34.588
2015/03/09	5.22	5.33	5.12	5.31	471323.00	246636640	0	5.234	5.337	5.122	5.169	5.317	4.505	471323	585442.625	914322.125	737735.563	53.128	59.872	39.64
2015/03/10	5.28	5.53	5.26	5.46	1188299.00	646221440	0	5.278	5.333	5.141	5.183	5.318	4.528	1188299	669197.375	816217	757916.188	63.891	61.211	69.25
2015/03/11	5.45	5.98	5.45	5.69	2367287.00	1369766400	0	5.368	5.362	5.179	5.199	5.321	4.552	2367287	1056775.625	913212.688	838653.375	65.533	62.652	71.295
2015/03/12	5.70	5.86	5.58	5.64	1766015.00	1010718208	0	5.468	5.388	5.214	5.212	5.328	4.575	1766015	1297901.625	998245.125	888507.375	64.836	63.38	67.747
2015/03/13	5.70	6.15	5.68	5.95	2608166.00	1554597760	0	5.61	5.436	5.28	5.234	5.338	4.601	2608166	1680218	1143572.5	980751.313	70.496	65.752	79.985
2015/03/16	6.15	6.40	5.98	6.39	2189316.00	1359340672	0	5.826	5.53	5.364	5.262	5.347	4.63	2189316	2023816.625	1304629.625	1068787.75	80.084	70.529	99.193
2015/03/17	6.45	7.03	6.27	7.03	1559306.00	1057472960	0	6.14	5.709	5.47	5.315	5.369	4.664	1559306	2098018	1383607.75	1123659	86.723	75.927	108.314
2015/03/18	7.72	7.73	7.34	7.47	4177549.00	3169467904	0	6.496	5.932	5.596	5.387	5.4	4.702	4177549	2460070.5	1758423	1316080.75	87.866	79.907	103.784
