'600198'	大唐电信	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数	MA1	MA2	MA3	MA4	MA5	MA6		MA1	MA2	MA3	K	D	J
2014/12/29	16.65	16.75	16.00	16.52	59176.00	96287728	0	16.512	16.852	17.145	17.054	17.242	16.483	59176	53990.199	87243.102	120384.25	27.218	31.211	19.232
2014/12/30	16.33	16.40	16.00	16.34	52947.00	85677192	0	16.51	16.703	17.122	17.045	17.209	16.492	52947	52894.199	83201.203	119376.297	25.406	29.276	17.666
2014/12/31	16.49	16.49	16.03	16.37	42010.00	68263136	0	16.508	16.556	17.079	17.03	17.175	16.502	42010	52131.801	75103.5	114542.5	29.471	29.341	29.73
2015/01/05	16.39	16.80	16.07	16.59	66104.00	108484880	0	16.496	16.508	17.048	17.025	17.139	16.518	66104	56359.602	64343	109743.648	41.977	33.553	58.826
2015/01/06	16.76	16.98	16.40	16.82	73565.00	123144512	0	16.528	16.497	17.042	17.029	17.112	16.54	73565	58760.398	60692.199	106136.102	55.876	40.994	85.64
2015/01/07	16.80	16.80	16.55	16.61	39022.00	64972980	0	16.546	16.529	17.013	17.022	17.091	16.56	39022	54729.602	54359.898	99677.148	57.999	46.662	80.672
2015/01/08	16.58	16.82	16.49	16.62	38641.00	64337672	0	16.602	16.556	16.983	17.003	17.077	16.581	38641	51868.398	52381.301	89068.852	59.754	51.026	77.211
2015/01/09	16.62	16.92	16.46	16.55	46574.00	77705112	0	16.638	16.573	16.93	16.986	17.054	16.604	46574	52781.199	52456.5	83436.352	58.544	53.532	68.567
2015/01/12	16.47	16.48	16.02	16.08	43356.00	70127448	0	16.536	16.516	16.848	16.962	17.033	16.622	43356	48231.602	52295.602	80684.602	41.75	49.605	26.041
2015/01/13	16.08	17.55	16.03	16.75	82940.00	139918912	0	16.522	16.525	16.774	16.945	17.031	16.646	82940	50106.602	54433.5	73966.398	43.963	47.724	36.439
2015/01/14	16.71	17.15	16.65	16.74	54099.00	91318192	0	16.548	16.547	16.7	16.945	17.024	16.67	54099	53122	53925.801	70584.453	44.995	46.814	41.355
