'600690'	青岛海尔	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数	MA1	MA2	MA3	MA4	MA5	MA6		MA1	MA2	MA3	K	D	J
2014/12/30	18.22	18.50	17.91	17.99	405744.00	737083776	0	18.378	18.62	18.639	18.208	17.203	16.509	405744	410001.406	445120.313	577769.125	17.144	27.835	-4.237
2014/12/31	18.15	18.64	18.08	18.56	354161.00	651739776	0	18.408	18.63	18.659	18.263	17.249	16.546	354161	406957.406	436733.094	554251.313	22.656	26.108	15.75
2015/01/05	18.86	20.25	18.71	19.99	910666.00	1799932160	0	18.706	18.746	18.736	18.364	17.315	16.595	910666	512055	479992.5	559745.313	44.733	32.317	69.567
2015/01/06	19.78	21.30	19.60	20.35	704044.00	1441701120	0	19.044	18.912	18.851	18.474	17.385	16.65	704044	565649.813	512075	559049.563	53.814	39.483	82.478
2015/01/07	20.34	20.34	19.78	20.00	375932.00	750748416	0	19.378	18.987	18.919	18.563	17.453	16.703	375932	550109.375	489922	536828.313	56.427	45.131	79.019
2015/01/08	20.00	20.25	19.51	19.84	316442.00	629245824	0	19.748	19.063	18.996	18.635	17.524	16.751	316442	532249	471125.188	490160.156	56.595	48.952	71.882
2015/01/09	19.87	20.38	19.50	19.60	392842.00	788852928	0	19.956	19.182	19.005	18.7	17.588	16.795	392842	539985.188	473471.313	473166.313	54.348	50.751	61.542
2015/01/12	19.78	20.69	19.65	20.40	509777.00	1033325952	0	20.038	19.372	19.07	18.803	17.665	16.846	509777	459807.406	485931.188	473074.563	60.716	54.072	74.002
2015/01/13	20.50	21.28	20.38	20.97	458457.00	958256576	0	20.162	19.603	19.177	18.932	17.756	16.903	458457	410690	488169.906	473038.188	70.566	59.57	92.557
2015/01/14	21.18	21.22	20.50	20.95	375877.00	785052096	0	20.352	19.865	19.278	19.046	17.846	16.958	375877	410679	480394.188	468006.688	76.754	65.298	99.666
2015/01/15	20.80	21.08	20.30	20.98	232692.00	483530560	0	20.58	20.164	19.392	19.148	17.932	17.011	232692	393929	463089	454104.656	80.384	70.327	100.499
2015/01/16	20.76	21.43	20.59	21.24	297048.00	625278144	0	20.908	20.432	19.531	19.25	18.027	17.062	297048	374770.188	457377.688	447055.406	83.641	74.765	101.394
2015/01/19	20.35	20.85	19.12	19.38	550129.00	1103529984	0	20.704	20.371	19.559	19.281	18.091	17.097	550129	382840.594	421324	450658.25	59.513	69.681	39.176
2015/01/20	19.55	20.35	19.52	20.30	343492.00	688662912	0	20.57	20.366	19.639	19.356	18.173	17.137	343492	359847.594	385268.813	448671.906	56.702	65.355	39.398
2015/01/21	20.45	20.69	20.12	20.62	310839.00	636136064	0	20.504	20.428	19.708	19.422	18.258	17.176	310839	346840	378759.5	434340.75	59.447	63.385	51.569
2015/01/22	20.52	20.85	20.11	20.40	253438.00	517062912	0	20.388	20.484	19.774	19.492	18.339	17.212	253438	350989.188	372459.094	421792.156	58.102	61.624	51.056
2015/01/23	20.39	20.60	20.02	20.18	241323.00	488110464	0	20.176	20.542	19.862	19.517	18.414	17.247	241323	339844.188	357307.188	415389.25	54.03	59.093	43.905
2015/01/26	20.22	20.51	20.04	20.50	214317.00	434563200	0	20.4	20.552	19.962	19.564	18.493	17.282	214317	272681.813	327761.188	406846.188	55.934	58.04	51.721
2015/01/27	20.50	20.69	19.96	20.55	247141.00	503705664	0	20.45	20.51	20.056	19.621	18.56	17.319	247141	253411.594	306629.594	397399.75	57.924	58.001	57.77
2015/01/28	20.41	20.45	20.06	20.13	174790.00	353129408	0	20.352	20.428	20.146	19.661	18.618	17.352	174790	226201.797	286520.906	383457.563	53.19	56.397	46.776
2015/01/29	19.92	20.05	19.70	19.79	165991.00	330005952	0	20.23	20.309	20.236	19.698	18.671	17.381	165991	208712.406	279850.813	371469.906	48.37	53.722	37.666
2015/01/30	19.90	20.35	19.85	19.95	261201.00	525048288	0	20.184	20.18	20.306	19.747	18.734	17.408	261201	212688	276266.094	366821.906	43.023	50.155	28.759
2015/02/02	19.58	20.11	19.46	19.68	172846.00	341923552	0	20.02	20.21	20.291	19.776	18.79	17.433	172846	204393.797	238537.797	329930.906	33.958	44.756	12.361
2015/02/03	19.99	20.15	19.70	20.03	162119.00	323771968	0	19.916	20.183	20.274	19.82	18.853	17.466	162119	187389.406	220400.5	302834.656	36.308	41.94	25.043
2015/02/04	20.15	20.60	20.01	20.34	259011.00	525582912	0	19.958	20.155	20.292	19.857	18.908	17.506	259011	204233.594	215217.703	296988.594	48.053	43.978	56.204
2015/02/05	20.66	20.68	19.76	19.79	233379.00	474067712	0	19.958	20.094	20.289	19.88	18.958	17.542	233379	217711.203	213211.797	292835.438	40.979	42.978	36.98
2015/02/06	19.73	19.98	19.11	19.15	180357.00	352523840	0	19.798	19.991	20.267	19.905	18.989	17.571	180357	201542.406	207115.203	282211.188	28.163	38.04	8.409
2015/02/09	19.33	19.39	18.63	19.05	236404.00	449167168	0	19.672	19.846	20.199	19.923	19.018	17.601	236404	214254	209323.906	268542.563	25.605	33.895	9.024
2015/02/10	19.23	19.89	19.05	19.82	160880.00	315092448	0	19.63	19.773	20.142	19.962	19.053	17.635	160880	214006.203	200697.797	253663.703	36.419	34.736	39.785
2015/02/11	19.82	20.58	19.75	20.12	202805.00	411077184	0	19.586	19.772	20.1	20.022	19.097	17.674	202805	202765	203499.297	245010.094	48.507	39.327	66.868
2015/02/12	20.30	20.42	19.96	20.14	199184.00	401854144	0	19.656	19.807	20.058	20.093	19.15	17.71	199184	195926	206818.594	243334.703	56.891	45.181	80.31
2015/02/13	20.33	20.43	20.05	20.15	183909.00	371996448	0	19.856	19.827	20.003	20.146	19.205	17.743	183909	196636.406	199089.406	237677.75	62.643	51.002	85.925
2015/02/16	20.18	20.38	20.01	20.36	292926.00	592299136	0	20.118	19.895	20.052	20.159	19.261	17.778	292926	207940.797	211097.406	224817.594	69.892	57.299	95.079
2015/02/17	20.44	21.00	20.36	20.56	268061.00	553568768	0	20.266	19.948	20.066	20.166	19.32	17.814	268061	229377	221691.594	221046.047	73.739	62.779	95.661
