'601111'	中国国航	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数	MA1	MA2	MA3	MA4	MA5	MA6		MA1	MA2	MA3	K	D	J
2014/12/25	7.20	7.55	7.05	7.54	1311187.00	955139584	0	7.732	7.549	6.902	6.234	5.275	4.435	1311187	1917069	1847152.25	1791657.25	49.291	65.223	17.428
2014/12/26	7.58	7.99	7.31	7.80	1520142.00	1171100928	0	7.592	7.62	7.01	6.328	5.339	4.472	1520142	1703226.625	1796046.75	1755199.5	51.023	60.49	32.09
2014/12/29	7.78	8.10	7.66	7.83	1460061.00	1143076736	0	7.562	7.697	7.093	6.427	5.403	4.51	1460061	1503057.375	1812524.125	1722147	52.819	57.933	42.591
2014/12/30	7.94	8.04	7.62	7.81	1104456.00	861387584	0	7.614	7.749	7.168	6.529	5.466	4.548	1104456	1439099.25	1764884.75	1667949.75	53.589	56.485	47.797
2014/12/31	7.72	7.92	7.62	7.84	960963.00	747777280	0	7.764	7.767	7.251	6.63	5.531	4.585	960963	1271361.75	1652457.75	1630904.25	54.743	55.904	52.42
2015/01/05	7.98	8.62	7.98	8.62	2316118.00	1954000896	0	7.98	7.856	7.365	6.759	5.608	4.629	2316118	1472348	1694708.5	1685598.75	69.829	60.546	88.395
2015/01/06	9.00	9.35	8.66	8.98	2263874.00	2035689216	0	8.216	7.904	7.508	6.897	5.691	4.676	2263874	1621094.375	1662160.5	1723601.25	74.747	65.279	93.682
2015/01/07	9.27	9.57	9.05	9.17	1642054.00	1523493504	0	8.484	8.023	7.649	7.038	5.778	4.725	1642054	1657493	1580275.25	1725990.75	78.075	69.545	95.137
2015/01/08	9.02	9.04	8.65	8.80	1119713.00	989441152	0	8.682	8.148	7.781	7.165	5.859	4.77	1119713	1660544.375	1549821.75	1675321.25	75.198	71.429	82.737
2015/01/09	8.63	9.19	8.62	8.78	1060966.00	944273536	0	8.87	8.317	7.904	7.292	5.933	4.816	1060966	1680545	1475953.375	1664086.5	71.814	71.557	72.326
2015/01/12	8.79	8.96	8.41	8.94	841050.00	728123392	0	8.934	8.457	8.003	7.42	6.009	4.862	841050	1385531.375	1428939.75	1638046	70.44	71.185	68.95
2015/01/13	9.12	9.38	8.94	8.96	1002466.00	916688192	0	8.93	8.573	8.097	7.531	6.087	4.909	1002466	1133249.75	1377172.125	1586609.375	69.866	70.745	68.107
2015/01/14	8.92	8.92	8.46	8.69	789398.00	683461248	0	8.834	8.659	8.178	7.615	6.161	4.954	789398	962718.625	1310105.75	1561315	64.868	68.786	57.031
2015/01/15	8.46	8.74	8.20	8.73	930948.00	786596928	0	8.82	8.751	8.25	7.695	6.236	4.998	930948	924965.625	1292755	1528819.875	58.969	65.514	45.878
2015/01/16	8.74	8.79	8.49	8.59	844501.00	727436160	0	8.782	8.826	8.297	7.776	6.31	5.042	844501	881672.625	1281108.75	1466783.25	48.801	59.943	26.518
2015/01/19	7.90	8.24	7.73	7.73	1083124.00	856759232	0	8.54	8.737	8.297	7.823	6.371	5.078	1083124	930087.375	1157809.375	1426259	32.534	50.807	-4.011
2015/01/20	7.65	7.95	7.64	7.94	928917.00	724690368	0	8.336	8.633	8.269	7.883	6.436	5.115	928917	915377.625	1024313.688	1343237.125	27.437	43.017	-3.723
2015/01/21	8.08	8.24	8.01	8.23	978083.00	795287936	0	8.244	8.539	8.281	7.946	6.505	5.155	978083	953114.625	957916.625	1269095.875	29.594	38.542	11.697
2015/01/22	8.16	8.25	8.03	8.14	650754.00	529326976	0	8.126	8.473	8.311	8.012	6.571	5.193	650754	897075.813	911020.688	1230421.25	29.308	35.464	16.995
2015/01/23	8.16	8.43	8.10	8.26	839920.00	695600768	0	8.06	8.421	8.369	8.076	6.636	5.232	839920	896159.625	888916.125	1182434.75	31.416	34.115	26.018
2015/01/26	8.40	8.58	8.19	8.55	924368.00	772733056	0	8.224	8.382	8.42	8.129	6.704	5.274	924368	864408.375	897247.875	1163093.75	44.642	37.624	58.678
2015/01/27	8.47	8.48	8.04	8.27	925479.00	763824320	0	8.29	8.313	8.443	8.169	6.768	5.312	925479	863720.813	889549.188	1133360.625	48.022	41.09	61.887
2015/01/28	8.10	8.16	8.00	8.02	617408.00	496818592	0	8.248	8.246	8.453	8.201	6.825	5.35	617408	791585.813	872350.188	1091228	43.029	41.736	45.615
2015/01/29	7.87	8.12	7.81	7.92	450754.00	359523360	0	8.204	8.165	8.458	8.222	6.879	5.385	450754	751585.813	824330.813	1058542.875	38.615	40.696	34.454
2015/01/30	7.92	8.03	7.65	7.69	618778.00	481157696	0	8.09	8.075	8.45	8.223	6.93	5.419	618778	707357.375	801758.5	1041433.625	27.517	36.303	9.944
2015/02/02	7.45	7.51	7.25	7.29	579522.00	426873600	0	7.838	8.031	8.384	8.208	6.976	5.449	579522	638388.188	751398.313	954603.875	19.347	30.651	-3.261
2015/02/03	7.29	7.45	7.06	7.41	743406.00	539057024	0	7.666	7.978	8.306	8.172	7.023	5.48	743406	601973.625	732847.188	878580.438	20.573	27.292	7.137
2015/02/04	7.28	7.37	7.17	7.19	551312.00	401077024	0	7.5	7.874	8.207	8.145	7.064	5.51	551312	588754.375	690170.125	824043.375	16.566	23.717	2.266
2015/02/05	7.41	7.51	7.17	7.21	585255.00	430421856	0	7.358	7.781	8.127	8.134	7.106	5.54	585255	615654.625	683620.188	797320.438	14.334	20.589	1.823
2015/02/06	7.10	7.15	6.69	6.90	885557.00	607298048	0	7.2	7.645	8.033	8.128	7.139	5.566	885557	669010.375	688183.875	788550	13.466	18.215	3.97
2015/02/09	6.80	6.93	6.71	6.84	386195.00	263909568	0	7.11	7.474	7.928	8.104	7.169	5.593	386195	630345	634366.625	765807.25	12.379	16.27	4.598
2015/02/10	6.81	7.16	6.77	7.09	531778.00	373865664	0	7.046	7.356	7.834	8.081	7.205	5.622	531778	588019.375	594996.5	742272.875	17.577	16.705	19.32
2015/02/11	7.17	7.20	7.05	7.13	330544.00	235476032	0	7.034	7.267	7.757	8.057	7.242	5.651	330544	543865.813	566310.125	719330.125	22.663	18.691	30.607
2015/02/12	7.16	7.40	7.06	7.31	390717.00	283130464	0	7.054	7.206	7.686	8.041	7.285	5.682	390717	504958.188	560306.375	692318.625	40.312	25.898	69.14
2015/02/13	7.31	7.38	7.20	7.31	429360.00	313493536	0	7.136	7.168	7.622	8.023	7.326	5.713	429360	413718.813	541364.625	671561.563	52.078	34.625	86.984
2015/02/16	7.25	7.34	7.17	7.28	376969.00	273902720	0	7.224	7.167	7.599	7.978	7.369	5.743	376969	411873.594	521109.313	636253.813	58.702	42.651	90.806
2015/02/17	7.27	7.85	7.27	7.75	868839.00	658540032	0	7.356	7.201	7.589	7.937	7.417	5.777	868839	479285.813	533652.625	633249.875	69.595	51.632	105.52
2015/02/25	7.78	7.82	7.60	7.65	446274.00	342976256	0	7.46	7.247	7.561	7.887	7.462	5.811	446274	502431.813	523148.813	606659.438	73.983	59.082	103.784
2015/02/26	7.60	7.72	7.38	7.67	504103.00	381521984	0	7.532	7.293	7.537	7.849	7.507	5.844	504103	525109	515033.594	599326.875	77.392	65.185	101.805
2015/02/27	7.72	8.05	7.72	7.90	838186.00	660706112	0	7.65	7.393	7.519	7.82	7.556	5.88	838186	606874.188	510296.5	599240.188	81.022	70.464	102.137
2015/03/02	7.89	7.89	7.67	7.82	484404.00	376632000	0	7.758	7.491	7.483	7.782	7.601	5.915	484404	628361.188	520117.406	577242	79.681	73.537	91.97
2015/03/03	7.73	7.79	7.46	7.48	536128.00	406994592	0	7.704	7.53	7.443	7.733	7.632	5.948	536128	561819	520552.406	557774.438	67.262	71.445	58.896
2015/03/04	7.46	7.55	7.38	7.46	312898.00	233360256	0	7.666	7.563	7.415	7.692	7.654	5.981	312898	535143.813	518787.813	542548.938	55.826	66.239	35.001
2015/03/05	7.40	7.45	7.15	7.25	576774.00	417902496	0	7.582	7.557	7.382	7.643	7.669	6.011	576774	549678	537393.5	548849.938	40.921	57.8	7.164
2015/03/06	7.25	7.65	7.23	7.32	452951.00	334686208	0	7.466	7.558	7.363	7.6	7.688	6.042	452951	472631	539752.625	540558.625	33.577	49.725	1.28
2015/03/09	7.26	7.45	7.11	7.40	337090.00	245583072	0	7.382	7.57	7.369	7.589	7.706	6.073	337090	443168.188	535764.688	528437	32.668	44.04	9.926
2015/03/10	7.36	7.66	7.34	7.57	527576.00	397501760	0	7.4	7.552	7.377	7.577	7.73	6.105	527576	441457.813	501638.406	517645.5	38.091	42.057	30.159
2015/03/11	7.61	8.18	7.60	7.91	1160084.00	926420288	0	7.49	7.578	7.412	7.566	7.756	6.14	1160084	610895	573019.375	548084.125	50.316	44.81	61.328
2015/03/12	7.92	8.10	7.75	7.91	683273.00	541564224	0	7.622	7.602	7.448	7.559	7.785	6.174	683273	632194.813	590936.375	552985	58.466	49.362	76.674
2015/03/13	8.04	8.68	8.04	8.39	1338041.00	1120187136	0	7.836	7.651	7.522	7.563	7.82	6.213	1338041	809212.813	640921.875	575609.188	66.154	54.959	88.543
2015/03/16	8.63	8.85	8.34	8.78	1394052.00	1194764416	0	8.112	7.747	7.619	7.571	7.85	6.255	1394052	1020605.188	731886.688	626002.063	76.095	62.004	104.275
2015/03/17	8.82	9.66	8.65	9.66	2316671.00	2190311424	0	8.53	7.965	7.747	7.617	7.893	6.303	2316671	1378424.25	909941	715246.688	84.063	69.357	113.475
2015/03/18	10.00	10.63	9.92	10.03	3063011.00	3130348800	0	8.954	8.222	7.892	7.684	7.942	6.354	3063011	1759009.625	1184952.25	851870.063	83.694	74.136	102.809
2015/03/19	9.71	9.77	9.54	9.68	1593261.00	1534296064	0	9.308	8.465	8.011	7.743	7.982	6.403	1593261	1941007.25	1286601	911997.25	80.133	76.135	88.129
2015/03/20	9.70	9.73	9.23	9.37	1456866.00	1373541760	0	9.504	8.67	8.114	7.799	8.011	6.449	1456866	1964772.25	1386992.5	963372.563	73.989	75.42	71.128
2015/03/23	9.30	9.50	9.24	9.41	1116521.00	1047643840	0	9.63	8.871	8.22	7.869	8.039	6.495	1116521	1909266	1464935.625	1000350.125	69.238	73.359	60.996
2015/03/24	9.33	9.99	9.25	9.86	1993873.00	1914615680	0	9.67	9.1	8.326	7.951	8.061	6.545	1993873	1844706.375	1611565.25	1056601.875	70.58	72.433	66.875
2015/03/25	9.59	9.61	9.36	9.42	1094421.00	1035131200	0	9.548	9.251	8.415	8.025	8.085	6.592	1094421	1450988.375	1604999	1089009.25	64.814	69.893	54.656
2015/03/26	9.36	9.37	9.05	9.18	1085004.00	994224000	0	9.448	9.378	8.49	8.091	8.113	6.637	1085004	1349337	1645172.125	1118054.25	55.436	65.074	36.161
2015/03/27	9.10	9.29	9.00	9.20	676421.00	617888320	0	9.414	9.459	8.555	8.168	8.148	6.681	676421	1193248	1579010.125	1109966	46.217	58.788	21.074
2015/03/30	9.33	9.76	9.24	9.69	1425389.00	1362303104	0	9.47	9.55	8.649	8.263	8.184	6.729	1425389	1255021.625	1582143.75	1157015.25	44.922	54.166	26.433
