'601288'	农业银行	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数	MA1	MA2	MA3	MA4	MA5	MA6		MA1	MA2	MA3	K	D	J
2014/12/30	3.44	3.59	3.41	3.54	9340923.00	3281640704	0	3.398	3.355	3.227	3.044	2.779	2.622	9340923	9941574	12127947	11631577	73.037	67.615	83.881
2014/12/31	3.55	3.77	3.50	3.71	13637367.00	4973496320	0	3.498	3.402	3.266	3.083	2.8	2.633	13637367	10824821	11880436	11705858	78.85	71.36	93.83
2015/01/05	3.76	3.92	3.72	3.89	14404796.00	5486170624	0	3.608	3.475	3.308	3.128	2.823	2.645	14404796	11832706	12518546	11886247	84.584	75.768	102.216
2015/01/06	3.81	4.13	3.78	3.95	15092859.00	5975994880	0	3.706	3.546	3.34	3.174	2.848	2.659	15092859	12949928	13080826	11739526	83.537	78.358	93.896
2015/01/07	3.90	3.99	3.82	3.89	9633187.00	3760354560	0	3.796	3.579	3.366	3.219	2.871	2.672	9633187	12421826	11681452	11467017	80.777	79.165	84.003
2015/01/08	3.90	3.93	3.71	3.73	8456808.00	3190135040	0	3.834	3.616	3.401	3.256	2.892	2.683	8456808	12245003	11093289	10975111	72.692	77.007	64.063
2015/01/09	3.70	4.02	3.64	3.76	16490178.00	6249768960	0	3.844	3.671	3.434	3.293	2.914	2.695	16490178	12815566	11820193	11204142	66.935	73.65	53.506
2015/01/12	3.70	3.76	3.60	3.67	8255471.00	3037865984	0	3.8	3.704	3.464	3.325	2.934	2.705	8255471	11585701	11709203	11247515	57.512	68.271	35.996
2015/01/13	3.65	3.70	3.62	3.66	4375984.00	1603502080	0	3.742	3.724	3.496	3.352	2.954	2.716	4375984	9442326	11196127	11197613	49.916	62.152	25.442
2015/01/14	3.67	3.79	3.67	3.73	6501410.00	2427109376	0	3.71	3.753	3.532	3.383	2.975	2.728	6501410	8815970	10618898	11271367	45.446	56.584	23.172
2015/01/15	3.72	3.87	3.68	3.86	8002042.00	3024979968	0	3.736	3.785	3.57	3.413	2.998	2.74	8002042	8725017	10485010	11306479	46.65	53.272	33.405
2015/01/16	3.89	3.99	3.86	3.94	10038200.00	3950040320	0	3.772	3.808	3.605	3.447	3.023	2.753	10038200	7434621.5	10125094	11002765	52.484	53.009	51.432
2015/01/19	3.67	3.78	3.55	3.55	10241362.00	3735646976	0	3.748	3.774	3.625	3.463	3.041	2.763	10241362	7831799.5	9708750	11113648	34.989	47.003	10.962
2015/01/20	3.53	3.64	3.48	3.57	7506245.00	2672988928	0	3.73	3.736	3.641	3.472	3.06	2.773	7506245	8457852	8950089	11015457	28.882	40.962	4.72
2015/01/21	3.59	3.82	3.55	3.77	10120540.00	3720674816	0	3.738	3.724	3.651	3.486	3.082	2.784	10120540	9181678	8998824	10340138	37.156	39.693	32.08
2015/01/22	3.76	3.76	3.66	3.73	7062514.00	2627961856	0	3.712	3.724	3.67	3.508	3.103	2.794	7062514	8993772	8859395	9976342	41.11	40.166	42.999
2015/01/23	3.74	3.84	3.71	3.74	8969481.00	3374609152	0	3.672	3.722	3.697	3.53	3.124	2.804	8969481	8780028	8107325	9963759	44.4	41.577	50.046
2015/01/26	3.73	3.73	3.65	3.71	5391733.00	1988524416	0	3.704	3.726	3.715	3.552	3.145	2.814	5391733	7810102.5	7820951	9765077	44.633	42.596	48.707
2015/01/27	3.71	3.71	3.55	3.62	6660681.00	2413402880	0	3.714	3.722	3.723	3.571	3.162	2.823	6660681	7640990	8049421	9622774	38.906	41.366	33.985
2015/01/28	3.59	3.65	3.56	3.58	3768612.00	1355516544	0	3.676	3.707	3.73	3.59	3.18	2.832	3768612	6370604	7776141	9197520	32.473	38.401	20.616
2015/01/29	3.51	3.55	3.47	3.50	5251510.00	1841374208	0	3.63	3.671	3.728	3.604	3.195	2.84	5251510	6008403.5	7501088	8993049	24.351	33.718	5.618
2015/01/30	3.52	3.55	3.45	3.46	3655588.00	1278243200	0	3.574	3.623	3.716	3.611	3.211	2.848	3655588	4945625	6862826.5	8493960	17.089	28.175	-5.083
2015/02/02	3.38	3.42	3.31	3.33	4155746.00	1401030272	0	3.498	3.601	3.688	3.617	3.225	2.855	4155746	4698427.5	6254265	7981507.5	12.65	23	-8.049
2015/02/03	3.35	3.42	3.33	3.40	3725064.00	1255367552	0	3.454	3.584	3.66	3.622	3.24	2.862	3725064	4111304	5876147	7413118	14.094	20.031	2.219
2015/02/04	3.41	3.45	3.35	3.36	3158060.00	1074703488	0	3.41	3.543	3.634	3.615	3.254	2.869	3158060	3989193.5	5179899	7089361.5	12.541	17.535	2.553
2015/02/05	3.56	3.57	3.30	3.32	11612719.00	4001022720	0	3.374	3.502	3.613	3.614	3.264	2.876	11612719	5261435.5	5634919.5	7247157	9.911	14.993	-0.254
2015/02/06	3.29	3.31	3.18	3.22	5691606.00	1853260544	0	3.326	3.45	3.586	3.614	3.274	2.882	5691606	5668639	5307132	6707228.5	9.123	13.037	1.296
2015/02/09	3.20	3.26	3.15	3.23	5022980.00	1606961664	0	3.306	3.402	3.564	3.611	3.284	2.888	5022980	5842086	5270256.5	6545604	11.415	12.496	9.254
