'601398'	工商银行	日线
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数	MA1	MA2	MA3	MA4	MA5	MA6		MA1	MA2	MA3	K	D	J
2014/10/08	3.53	3.54	3.49	3.53	1035548.00	363668608	0	3.536	3.533	3.551	3.531	3.521	3.514	1035548	804182.188	812304.688	773764.625	56.328	52.334	64.315
2014/10/09	3.52	3.53	3.51	3.52	701508.00	246661728	0	3.53	3.529	3.55	3.531	3.522	3.514	701508	744990.813	805005.875	764324.125	54.219	52.962	56.731
2014/10/10	3.51	3.52	3.50	3.51	668586.00	234263424	0	3.522	3.524	3.546	3.532	3.523	3.514	668586	780780.625	786035.375	757276.125	48.646	51.523	42.89
2014/10/13	3.50	3.51	3.48	3.48	828471.00	288764160	0	3.514	3.523	3.539	3.531	3.524	3.514	828471	781755.188	795781.875	749844.125	32.43	45.159	6.973
2014/10/14	3.48	3.50	3.48	3.48	514249.00	179211296	0	3.504	3.521	3.534	3.53	3.524	3.514	514249	749672.375	793060.875	750600.313	21.62	37.313	-9.765
2014/10/15	3.48	3.51	3.47	3.50	510453.00	178181968	0	3.498	3.517	3.531	3.53	3.525	3.514	510453	644653.375	724417.813	742863.75	25.525	33.383	9.807
2014/10/16	3.49	3.53	3.48	3.52	895556.00	314377920	0	3.498	3.514	3.53	3.531	3.526	3.514	895556	683463	714226.875	757560.75	37.85	34.872	43.805
2014/10/17	3.52	3.52	3.50	3.52	688790.00	241808896	0	3.5	3.511	3.527	3.534	3.527	3.515	688790	687503.813	734142.188	777371.375	49.043	39.596	67.937
2014/10/20	3.52	3.53	3.50	3.52	564222.00	198398592	0	3.508	3.511	3.524	3.536	3.528	3.516	564222	634654	708204.625	771672.5	56.505	45.232	79.05
2014/10/21	3.52	3.52	3.49	3.51	656451.00	230232816	0	3.514	3.509	3.523	3.537	3.53	3.516	656451	663094.375	706383.375	744671.75	59.892	50.119	79.439
2014/10/22	3.50	3.53	3.49	3.50	946627.00	332294528	0	3.514	3.506	3.52	3.536	3.531	3.517	946627	750329.188	697491.313	754898	56.595	52.277	65.229
2014/10/23	3.50	3.53	3.49	3.52	931504.00	327702752	0	3.514	3.506	3.517	3.535	3.532	3.518	931504	757518.813	720490.875	762748.375	65.508	56.687	83.148
2014/10/24	3.51	3.53	3.50	3.52	760485.00	267439456	0	3.514	3.507	3.516	3.533	3.533	3.518	760485	771857.813	729680.813	757858.125	71.449	61.608	91.132
2014/10/27	3.51	3.52	3.48	3.49	668997.00	233997088	0	3.508	3.508	3.516	3.529	3.533	3.518	668997	792812.813	713733.375	754757.625	58.744	60.653	54.925
2014/10/28	3.49	3.53	3.49	3.52	575108.00	201800032	0	3.51	3.512	3.516	3.527	3.531	3.519	575108	776544.188	719819.313	756440.125	65.829	62.379	72.731
2014/10/29	3.52	3.56	3.51	3.54	1127216.00	398318400	0	3.518	3.516	3.516	3.526	3.53	3.52	1127216	812662	781495.625	752956.688	68.886	64.548	77.563
2014/10/30	3.55	3.60	3.54	3.59	1489665.00	532277888	0	3.532	3.523	3.519	3.527	3.531	3.522	1489665	924294.188	840906.5	777566.688	76.48	68.525	92.389
2014/10/31	3.59	3.69	3.59	3.66	2169956.00	790282560	0	3.56	3.537	3.524	3.53	3.532	3.524	2169956	1206188.375	989023.125	861582.625	79.558	72.203	94.268
2014/11/03	3.67	3.67	3.62	3.63	1270581.00	462810304	0	3.588	3.548	3.53	3.532	3.532	3.525	1270581	1326505.25	1059659	883931.813	76.848	73.751	83.042
2014/11/04	3.63	3.66	3.61	3.64	1051043.00	381144416	0	3.612	3.561	3.535	3.535	3.533	3.527	1051043	1421692.25	1099118.25	902750.813	76.629	74.71	80.466
2014/11/05	3.64	3.65	3.57	3.58	1974283.00	709205824	0	3.62	3.569	3.537	3.536	3.533	3.528	1974283	1591105.625	1201883.75	949687.563	66.959	72.127	56.624
2014/11/06	3.58	3.59	3.54	3.57	1173599.00	418473856	0	3.616	3.574	3.54	3.536	3.533	3.529	1173599	1527892.375	1226093.25	973292.125	58.925	67.726	41.323
2014/11/07	3.56	3.61	3.54	3.57	1401026.00	500760096	0	3.598	3.579	3.543	3.537	3.533	3.53	1401026	1374106.375	1290147.375	1009914.125	52.617	62.69	32.471
2014/11/10	3.60	3.67	3.59	3.67	1929556.00	700418368	0	3.606	3.597	3.553	3.543	3.536	3.531	1929556	1505901.375	1416203.25	1064968.375	64.707	63.362	67.398
2014/11/11	3.69	3.92	3.69	3.81	5598216.00	2139143680	0	3.64	3.626	3.569	3.553	3.54	3.534	5598216	2415336	1918514.125	1319166.75	66.822	64.516	71.436
2014/11/12	3.78	3.78	3.72	3.76	1775730.00	665749632	0	3.676	3.648	3.582	3.56	3.544	3.537	1775730	2375625.5	1983365.5	1382430.5	63.847	64.293	62.954
2014/11/13	3.76	3.83	3.75	3.76	1864775.00	706374400	0	3.714	3.665	3.594	3.567	3.548	3.539	1864775	2513860.5	2020876.5	1430891.5	61.863	63.483	58.623
2014/11/14	3.78	3.79	3.74	3.78	1319533.00	496181920	0	3.756	3.677	3.607	3.575	3.553	3.541	1319533	2497562	1935834.25	1462428.625	62.294	63.087	60.71
2014/11/17	3.88	3.89	3.74	3.75	2171022.00	827209344	0	3.772	3.689	3.618	3.583	3.556	3.543	2171022	2545855.25	2025878.25	1542768.625	59.951	62.041	55.769
2014/11/18	3.79	3.80	3.71	3.72	1522533.00	569736064	0	3.754	3.697	3.629	3.589	3.56	3.545	1522533	1730718.625	2073027.25	1586072.75	55.757	59.946	47.377
2014/11/19	3.70	3.72	3.67	3.69	1079677.00	398616832	0	3.74	3.708	3.638	3.594	3.563	3.547	1079677	1591508	1983566.75	1592725.25	50.329	56.741	37.506
2014/11/20	3.68	3.70	3.65	3.68	923723.00	339571200	0	3.724	3.719	3.647	3.6	3.566	3.548	923723	1403297.625	1958579.125	1592336.25	42.644	52.042	23.848
2014/11/21	3.69	3.75	3.67	3.73	1114660.00	413475392	0	3.714	3.735	3.657	3.607	3.569	3.549	1114660	1362323	1929942.5	1610045	38.306	47.463	19.991
2014/11/24	3.70	3.78	3.68	3.73	1756372.00	657357504	0	3.71	3.741	3.669	3.615	3.573	3.551	1756372	1279393	1912624.125	1664413.75	36.648	43.858	22.228
2014/11/25	3.73	3.79	3.72	3.77	1603068.00	602064256	0	3.72	3.737	3.681	3.625	3.577	3.552	1603068	1295500	1513109.25	1715811.75	41.099	42.938	37.42
2014/11/26	3.77	3.82	3.75	3.82	2489965.00	944879744	0	3.746	3.743	3.695	3.636	3.583	3.554	2489965	1577557.625	1584532.75	1783949.125	51.01	45.629	61.773
